survey,source_name,band,N,F_mean,S2,sigma2_err_mean,excess_var_norm,Fvar,baseline_days,tier,R_Fe,fwhm_hbeta
ATLAS,132404.20+433407.1,o,2121,1.1197085009263207e-8,1.318377883299003e-16,1.6116556100535634e-16,-0.2339209561703296,,3882.6911120000004,trusted,0.6029407938852226,12143.147171734618
ATLAS,134406.11+392817.4,c,548,5.694487568346436e-9,3.80251332755916e-17,3.227654930420162e-17,0.17727666837206107,0.42104235935599293,3841.724018000001,trusted,2.663022458884681,1782.1751241909635
ATLAS,133433.24-013825.3,o,1429,9.945291768662073e-9,3.5735586001691284e-16,6.383074165214455e-16,-2.840510408950605,,3881.0854270000054,trusted,0.4327803900711414,19293.37067671904
ATLAS,082311.26+435318.5,o,850,2.502572281676218e-7,4.68472011054777e-13,1.7060153099968183e-14,7.207749806508044,2.684725275797888,3803.804885999998,trusted,0.48265221146001236,14652.812151470938
ATLAS,152942.19+350851.3,c,659,3.723562303274051e-8,6.062866070280176e-16,2.0584593611289994e-17,0.4224345851459527,0.6499496789336484,3429.803221000002,trusted,0.45044016736895237,12390.855403892732
ATLAS,095919.14+090659.4,o,1437,8.468480568787284e-9,2.1647705630160975e-16,4.1858312372702223e-16,-2.818177614959871,,3895.346771999997,trusted,1.3657596861066559,2335.812570263039
ATLAS,113618.90+125554.8,c,580,6.1922566006795264e-9,9.59943201646242e-17,1.1049218066922405e-16,-0.37809943398626866,,3801.697570999997,trusted,1.357826941000323,2550.072589976897
ATLAS,075005.28+292944.3,o,1363,9.486895167235722e-9,3.1724432813039306e-16,2.6562325253232833e-16,0.5735599871837433,0.7573374328420215,3868.6631510000007,trusted,1.3038475984801843,1743.3897682881582
ATLAS,110104.14+062829.5,c,332,8.153732317801658e-9,1.2932713515003878e-16,3.768692395859496e-17,1.378393390409537,1.174049994850959,3716.3246870000003,trusted,2.063623714980956,2585.8088626101658
ATLAS,143418.47+491236.5,c,311,9.196428581354713e-9,1.1345073168186928e-15,6.871229140305444e-16,5.289838756206956,2.2999649467343968,3829.742311999995,trusted,0.8858130804105774,12006.278697830545
ATLAS,090550.30+003948.1,c,424,4.347332643102028e-9,3.2129645023455873e-17,4.395959690716565e-17,-0.6259465265404831,,3854.065834000001,trusted,0.3846479446890111,13040.138733952152
ATLAS,075005.28+292944.3,c,366,6.387395112814414e-9,7.179783877615612e-17,9.432044882672471e-17,-0.5520407717208714,,3862.683858000004,trusted,1.3038475984801843,1743.3897682881582
ATLAS,001255.59+014750.9,c,215,1.227776745554846e-8,2.6261006267370084e-16,2.4030946040592367e-16,0.14793733305848394,0.38462622513094963,3746.8965080000053,trusted,1.3057898256544467,12701.601059969164
ATLAS,161742.53+322234.4,o,1264,1.0936413422178723e-7,2.1400583235655943e-15,2.526549416072515e-17,0.17681454619805256,0.420493217778899,3893.2495969999945,trusted,0.4475634175199525,15966.901734174797
ATLAS,205601.38-062049.7,o,1545,7.735375422011402e-9,1.8190696893661248e-16,2.496811916131741e-16,-1.1326657094361299,,4022.076418000004,trusted,2.141608811580593,2041.7586890614584
ATLAS,205601.38-062049.7,c,392,4.1065750278505775e-9,3.939279510384984e-17,4.325205708208646e-17,-0.22884674363587787,,3910.2188000000024,trusted,2.141608811580593,2041.7586890614584
ATLAS,150348.33+193941.3,o,1798,8.276564847446223e-9,1.9717049427140609e-16,5.360907920986457e-16,-4.947631377441924,,4019.0334650000004,trusted,1.4182979747423967,4784.922019382111
ATLAS,110104.14+062829.5,o,1200,1.0745599846013181e-8,2.828219040481915e-16,3.7316861321070314e-16,-0.7824399387522508,,3790.3593400000027,trusted,2.063623714980956,2585.8088626101658
ATLAS,083325.69+391204.7,c,229,7.240203625050312e-9,2.0936829156331613e-16,4.449491217419503e-16,-4.49405503709987,,3656.938881999995,trusted,1.2611585696768872,2832.1989685733406
ATLAS,134406.11+392817.4,o,2435,8.793896241702591e-9,1.366105474005459e-16,2.0277795056236702e-16,-0.8556209626472776,,4014.9722150000016,trusted,2.663022458884681,1782.1751241909635
ATLAS,164331.90+304835.5,o,1846,8.461904344023337e-9,2.695118417127888e-16,4.602406582160592e-16,-2.66366798371339,,4008.004762000004,trusted,0.37529489987576015,14133.551682334535
