survey,source_name,band,N,F_mean,S2,sigma2_err_mean,excess_var_norm,Fvar,baseline_days,tier
Catalina,084245.18+445533.9,,284,2.995728974249057e-8,3.2309779836858565e-17,1.810865844140218e-17,0.015824048311619782,0.12579367357550134,2879.1675600000017,trusted
Catalina,153145.14+431933.8,,225,3.310055816398683e-8,1.1618257461218868e-16,2.2246105598769962e-17,0.0857360748803421,0.2928072316052698,3031.815849999999,trusted
Catalina,092158.92+034235.7,,365,4.7035974705589705e-8,3.492773513452152e-17,2.958784445354124e-17,0.0024136376398242337,0.04912878626451333,2962.97163,trusted
Catalina,161742.53+322234.4,,727,3.5497007936535827e-7,8.778172221230088e-14,7.250386903909143e-16,0.6909054573101404,0.8312072288606136,3078.7604099999953,trusted
Catalina,164331.90+304835.5,,424,1.534692110374386e-7,2.441955254826059e-16,1.701443142005161e-16,0.0031440514611742075,0.05607184196345085,3116.684699999998,trusted
Catalina,095746.83+303024.2,,460,3.919642339325345e-8,4.1722345721372616e-17,2.465610528509308e-17,0.0111082329686917,0.10539560222652414,2977.9910700000037,trusted
Catalina,143418.47+491236.5,,173,8.236358312819945e-8,5.640433773873131e-17,7.3049093281912e-17,-0.0024536180482221514,,2939.936330000004,trusted
Catalina,093856.54+435415.0,,669,9.072046725803026e-8,5.270048105142332e-15,8.63901348047887e-17,0.629833535973871,0.7936205239116936,2902.0776600000027,trusted
Catalina,012715.48-001115.1,,296,1.7372861401829712e-8,3.169560479816553e-17,1.0016006229021193e-17,0.07183043995542991,0.26801201457291035,2964.0261000000028,trusted
Catalina,140655.51+582200.0,,200,7.308333793246303e-8,6.343358935730092e-16,6.499812642595813e-17,0.10659411899772307,0.32648754799796437,2936.039660000002,trusted
Catalina,121028.83+025454.2,,430,3.71535349619246e-8,3.242400326127917e-17,2.2585291055053727e-17,0.007127512298839463,0.08442459534306021,2999.8854900000006,trusted
Catalina,075005.28+292944.3,,472,3.836602413442461e-8,5.621644303488778e-16,2.793626753110449e-17,0.362938623368399,0.6024438756999684,3090.3171099999963,trusted
Catalina,110104.14+062829.5,,652,7.98967063595822e-8,1.3582549359291615e-16,5.038798846991716e-17,0.013384150302683475,0.11568988850666023,3166.1697799999965,trusted
ALERCE,082311.26+435318.5,2,24,1.4091221539455628e-7,8.615324937929037e-17,8.882403717213885e-17,-0.00013450613603565234,,370.0155671001412,marginal
ALERCE,075947.73+112507.3,1,83,1.9778473944563757e-8,1.9451959343815646e-17,1.277837765684249e-17,0.017059779820181534,0.1306130920703646,1108.989976900164,trusted
ALERCE,075947.73+112507.3,2,112,3.853776816828204e-8,2.2228151513610727e-17,4.077830665479479e-17,-0.012490344774085772,,1086.9173379996791,trusted
ALERCE,022325.01-003612.6,1,136,4.180232661433428e-8,5.147935687085499e-18,6.918219548913887e-17,-0.036644726553123064,,1537.9363309997134,trusted
ALERCE,095746.83+303024.2,2,392,6.307957803670985e-8,1.8027246704909432e-16,4.325482034869977e-17,0.03443490943871794,0.18556645558591114,1934.912256900221,trusted
ALERCE,001255.59+014750.9,2,103,1.7868293779019053e-8,1.4841342942975936e-17,1.1852760648199392e-17,0.009360500067430326,0.09674967735052312,2297.776585599873,trusted
ALERCE,001255.59+014750.9,1,195,1.3042971826629444e-8,1.4610832893293473e-17,6.044027995198874e-18,0.05035768581863764,0.22440518224550352,2305.6985069001094,trusted
ALERCE,153145.14+431933.8,2,23,3.0373595089009416e-8,7.56996932826569e-17,4.2526633703151135e-17,0.03595780149751949,0.18962542418547015,1972.7684953999706,marginal
ALERCE,152942.19+350851.3,2,213,1.3353655491055368e-7,8.317520781789362e-16,8.036868456462605e-17,0.0421367714867578,0.20527243235943252,2787.203564800322,trusted
ALERCE,132404.20+433407.1,2,138,4.522650447845869e-8,1.2078277225622136e-17,6.879993871294933e-17,-0.027730831897062207,,2177.9937847000547,trusted
ALERCE,153145.14+431933.8,1,58,2.8044596869788237e-8,9.610447442535338e-17,3.695672804438407e-17,0.07520380226485823,0.2742331166450512,2002.8059837999754,trusted
ALERCE,095746.83+303024.2,1,261,3.667849794495755e-8,9.325209939610908e-17,2.4204623725295906e-17,0.05132449931002706,0.2265491101505964,1930.8888889001682,trusted
ALERCE,152942.19+350851.3,1,265,1.1447731438169087e-7,9.905491008944242e-16,5.843380271232869e-17,0.07112639069784328,0.26669531435299587,2823.1053124996834,trusted
