source_name,MJD,mag,mag_err,RA,DEC
152942.19+350851.3,54923.34,18.24,0.12,232.42572,35.14774
152942.19+350851.3,54923.34649,18.18,0.12,232.4257,35.14769
152942.19+350851.3,54923.35306,18.08,0.11,232.42575,35.14782
152942.19+350851.3,54941.44572,18.17,0.12,232.42573,35.14755
152942.19+350851.3,54941.45114,18.01,0.11,232.42576,35.14773
152942.19+350851.3,54941.45653,18.21,0.12,232.42576,35.14766
152942.19+350851.3,54941.4618,18.21,0.12,232.4258,35.14755
152942.19+350851.3,55044.19187,18.19,0.14,232.42578,35.14764
152942.19+350851.3,55044.19783,18.3,0.15,232.42582,35.14743
152942.19+350851.3,55044.2038,18.42,0.16,232.42555,35.14764
152942.19+350851.3,55044.20977,18.1,0.14,232.42602,35.14775
152942.19+350851.3,54863.50011,18.28,0.13,232.42578,35.14756
152942.19+350851.3,54863.50488,18.23,0.13,232.42575,35.14767
152942.19+350851.3,54863.50958,18.37,0.14,232.42561,35.14767
152942.19+350851.3,55017.25658,18.07,0.13,232.42571,35.14747
152942.19+350851.3,55017.26348,18.13,0.14,232.42566,35.14768
152942.19+350851.3,55017.27036,18.28,0.15,232.42566,35.14776
152942.19+350851.3,55017.27716,18.25,0.15,232.4255,35.14759
152942.19+350851.3,54891.43311,18.35,0.12,232.42576,35.14779
152942.19+350851.3,54891.44048,18.08,0.11,232.42581,35.14757
152942.19+350851.3,54891.44787,18.25,0.12,232.42564,35.14772
152942.19+350851.3,54914.35688,18.25,0.12,232.42588,35.14767
152942.19+350851.3,54914.3617,18.19,0.12,232.42585,35.14765
152942.19+350851.3,54914.36659,18.2,0.12,232.42568,35.14769
152942.19+350851.3,54914.37148,18.33,0.12,232.42554,35.14765
152942.19+350851.3,54954.39695,18.31,0.13,232.42558,35.14768
152942.19+350851.3,54954.41684,18.16,0.12,232.42573,35.14764
152942.19+350851.3,54955.3053,18.08,0.14,232.42576,35.1474
152942.19+350851.3,54955.31024,18.29,0.15,232.42572,35.14777
152942.19+350851.3,54955.31509,18.42,0.15,232.42557,35.14759
152942.19+350851.3,54955.32004,18.28,0.15,232.4257,35.14759
152942.19+350851.3,54979.29633,18.23,0.12,232.42577,35.14761
152942.19+350851.3,54979.30368,18.29,0.12,232.42555,35.14768
152942.19+350851.3,54979.31099,18.18,0.12,232.42567,35.14758
152942.19+350851.3,54979.31825,18.27,0.12,232.42565,35.14766
152942.19+350851.3,55095.12523,18.33,0.13,232.42563,35.14775
152942.19+350851.3,55095.13064,18.24,0.13,232.42573,35.14771
152942.19+350851.3,55095.13591,18.27,0.13,232.42552,35.14778
152942.19+350851.3,55095.14142,18.3,0.13,232.42566,35.14763
152942.19+350851.3,55298.47412,18.25,0.12,232.42568,35.14753
152942.19+350851.3,55298.48092,18.16,0.12,232.42563,35.14769
152942.19+350851.3,55298.48784,18.26,0.12,232.4257,35.14766
152942.19+350851.3,55298.49468,18.04,0.11,232.42571,35.14743
152942.19+350851.3,55349.20177,18.27,0.12,232.4257,35.14769
152942.19+350851.3,55349.20343,18.21,0.12,232.4256,35.14755
152942.19+350851.3,55349.20513,18.4,0.13,232.42562,35.14754
152942.19+350851.3,55349.20682,18.31,0.12,232.42555,35.14764
152942.19+350851.3,55357.18988,18.13,0.12,232.42565,35.14763
