MJD,m,dm,F,source_name,RA,DEC
57524.453997,18.68,16.808,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57524.467494,16.435,3.079,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57528.410141,19.011,23.847,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57528.416958,16.495,2.36,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57528.432518,17.63,5.093,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57528.436416,16.234,0.588,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57528.446466,16.941,2.615,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57532.399974,17.986,4.286,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57532.415306,18.161,6.988,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57532.419698,17.894,7.953,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57532.449211,19.883,25.19,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57532.450664,19.034,15.804,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57546.387239,20.755,0.913,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.351968,17.115,6.368,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.352452,14.997,0.509,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.358962,16.524,1.404,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.386728,15.963,3.34,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.387212,15.725,1.328,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.388184,15.991,2.152,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57557.407928,16.371,1.201,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.340425,16.326,2.049,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.354476,18.885,14.701,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.35955,15.648,0.265,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.360033,22.11,923.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.368642,15.699,0.874,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.386237,20.087,15.574,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.387232,16.037,1.506,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57561.389167,16.685,1.857,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57565.356397,15.926,1.092,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57569.379325,17.05,2.75,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57589.293079,19.354,17.375,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57598.281091,16.661,2.683,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57598.292777,15.71,0.431,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57598.302949,16.442,0.981,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57598.309958,15.497,0.343,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57598.328542,17.053,4.061,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57610.328323,21.398,128.65,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57613.241232,17.606,2.855,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57617.240191,17.001,3.014,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57617.250176,16.717,0.587,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57617.251223,17.435,5.095,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57617.260205,19.714,29.387,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57617.277448,16.313,1.455,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57620.249754,21.011,52.379,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57620.252362,20.853,94.242,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57625.265646,21.867,3.187,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57641.278741,19.092,11.66,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57641.293666,20.415,17.118,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57762.649733,21.285,50.326,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57762.677234,18.523,1.695,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57765.67074,18.526,2.542,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57789.656133,18.208,0.754,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57789.671796,18.699,4.092,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.562242,19.478,17.319,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.5738,20.796,127.913,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.585806,19.273,8.492,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.586323,21.077,115.421,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.60667,20.734,83.774,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57793.616679,19.028,9.39,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57794.609623,20.802,57.891,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57794.632397,17.798,7.456,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57798.62542,18.275,11.819,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57798.639223,21.551,150.333,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57798.667035,18.401,15.463,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57809.651619,17.013,0.797,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57818.570073,19.881,24.82,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57818.598796,19.79,15.661,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57818.612638,19.018,8.277,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57819.660408,23.421,252.333,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57824.574718,19.089,9.11,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57824.584387,16.684,1.151,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57824.584877,19.668,18.629,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57829.549197,18.863,7.496,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57829.588528,20.147,37.241,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57831.652495,19.458,9.66,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57835.641397,18.048,3.324,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57839.624159,19.142,8.925,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57840.618191,20.651,51.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57840.633144,18.963,6.61,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57843.608192,18.617,4.874,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57843.619721,17.724,2.968,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57843.626947,18.245,4.674,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57843.636248,18.246,7.553,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57843.643547,18.455,6.817,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57844.617419,17.659,4.626,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57844.634078,18.079,4.284,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57847.607121,20.09,5.304,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57847.615685,17.458,1.82,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57847.623265,20.424,24.475,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57847.631317,17.308,2.429,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57847.647149,16.854,1.213,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.564633,19.783,3.886,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.577239,19.203,14.14,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.581093,19.88,28.712,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.598807,19.57,3.685,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.606028,18.1,9.692,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57851.619133,20.715,60.9,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57853.48075,17.37,3.368,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57853.514206,19.113,5.327,o,152942.19+350851.3,232.4258318203353,35.14758608779926
