InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
152942.19+350851.3,1135069031784,18.16,0.12,232.42563,35.14769,55298.48092,0
152942.19+350851.3,1135069031784,18.26,0.12,232.42570,35.14766,55298.48784,0
152942.19+350851.3,1135069031784,18.04,0.11,232.42571,35.14743,55298.49468,0
152942.19+350851.3,1135069031784,18.27,0.12,232.42570,35.14769,55349.20177,0
152942.19+350851.3,1135069031784,18.21,0.12,232.42560,35.14755,55349.20343,0
152942.19+350851.3,1135069031784,18.40,0.13,232.42562,35.14754,55349.20513,0
152942.19+350851.3,1135069031784,18.31,0.12,232.42555,35.14764,55349.20682,0
152942.19+350851.3,1135069031784,18.13,0.12,232.42565,35.14763,55357.18988,0
152942.19+350851.3,1135069031784,18.24,0.12,232.42572,35.14771,55357.19438,0
152942.19+350851.3,1135069031784,18.54,0.15,232.42577,35.14756,55357.19894,0
152942.19+350851.3,1135069031784,18.24,0.12,232.42582,35.14764,55357.20354,0
152942.19+350851.3,1135069031784,18.45,0.13,232.42563,35.14769,55366.18883,0
152942.19+350851.3,1135069031784,18.33,0.12,232.42571,35.14760,55366.19411,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42582,35.14758,55366.19941,0
152942.19+350851.3,1135069031784,18.44,0.13,232.42567,35.14757,55366.20481,0
152942.19+350851.3,1135069031784,18.26,0.12,232.42572,35.14755,55273.40785,0
152942.19+350851.3,1135069031784,18.20,0.12,232.42588,35.14763,55273.41366,0
152942.19+350851.3,1135069031784,18.12,0.11,232.42584,35.14756,55273.41946,0
152942.19+350851.3,1135069031784,18.16,0.12,232.42579,35.14765,55273.42529,0
152942.19+350851.3,1135069031784,18.29,0.12,232.42565,35.14766,55280.37588,0
152942.19+350851.3,1135069031784,18.15,0.12,232.42571,35.14751,55280.38278,0
152942.19+350851.3,1135069031784,18.27,0.12,232.42572,35.14745,55280.38970,0
152942.19+350851.3,1135069031784,18.41,0.13,232.42559,35.14754,55280.39667,0
152942.19+350851.3,1135069031784,18.40,0.13,232.42567,35.14780,55321.25944,0
152942.19+350851.3,1135069031784,18.34,0.12,232.42569,35.14768,55321.26581,0
152942.19+350851.3,1135069031784,18.11,0.11,232.42582,35.14775,55321.27209,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42562,35.14761,55321.27843,0
152942.19+350851.3,1135069031784,18.20,0.14,232.42574,35.14761,55330.28615,0
152942.19+350851.3,1135069031784,18.32,0.15,232.42565,35.14761,55330.29685,0
152942.19+350851.3,1135069031784,18.23,0.14,232.42571,35.14774,55330.30214,0
152942.19+350851.3,1135069031784,18.34,0.13,232.42561,35.14748,55659.39483,0
152942.19+350851.3,1135069031784,18.29,0.13,232.42566,35.14771,55659.40151,0
152942.19+350851.3,1135069031784,18.32,0.13,232.42564,35.14775,55659.40922,0
152942.19+350851.3,1135069031784,18.09,0.12,232.42579,35.14783,55659.41691,0
152942.19+350851.3,1135069031784,18.32,0.15,232.42572,35.14762,55676.26101,0
152942.19+350851.3,1135069031784,18.57,0.16,232.42574,35.14764,55676.26697,0
152942.19+350851.3,1135069031784,18.51,0.16,232.42565,35.14765,55676.27299,0
152942.19+350851.3,1135069031784,18.35,0.16,232.42561,35.14755,55676.27911,0
152942.19+350851.3,1135069031784,18.41,0.13,232.42568,35.14753,55719.31570,0
152942.19+350851.3,1135069031784,18.47,0.14,232.42560,35.14749,55719.32490,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42570,35.14761,55719.33416,0
152942.19+350851.3,1135069031784,18.26,0.13,232.42583,35.14773,55719.34345,0
152942.19+350851.3,1135069031784,18.58,0.14,232.42577,35.14762,55725.29762,0
152942.19+350851.3,1135069031784,18.48,0.14,232.42567,35.14773,55725.30567,0
152942.19+350851.3,1135069031784,18.35,0.13,232.42550,35.14762,55725.31374,0
152942.19+350851.3,1135069031784,18.40,0.13,232.42574,35.14777,55725.32185,0
152942.19+350851.3,1135069031784,18.40,0.13,232.42573,35.14768,55648.35660,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42550,35.14743,55648.36403,0
152942.19+350851.3,1135069031784,18.32,0.13,232.42570,35.14754,55648.37146,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42569,35.14751,55648.37898,0
152942.19+350851.3,1135069031784,18.35,0.13,232.42591,35.14771,55688.39366,0
152942.19+350851.3,1135069031784,18.35,0.13,232.42562,35.14769,55688.39949,0
152942.19+350851.3,1135069031784,18.32,0.13,232.42561,35.14756,55688.40534,0
152942.19+350851.3,1135069031784,18.25,0.13,232.42575,35.14758,55688.41105,0
152942.19+350851.3,1135069031784,18.15,0.12,232.42575,35.14778,56018.44567,0
152942.19+350851.3,1135069031784,18.44,0.13,232.42576,35.14771,56018.45257,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42577,35.14761,56018.45957,0
152942.19+350851.3,1135069031784,18.45,0.13,232.42571,35.14766,56018.46652,0
152942.19+350851.3,1135069031784,18.32,0.15,232.42562,35.14767,56046.40598,0
152942.19+350851.3,1135069031784,18.41,0.16,232.42554,35.14756,56046.40775,0
152942.19+350851.3,1135069031784,18.15,0.14,232.42564,35.14769,56046.40958,0
152942.19+350851.3,1135069031784,18.34,0.16,232.42568,35.14754,56046.41139,0
152942.19+350851.3,1135069031784,18.30,0.12,232.42595,35.14756,56064.36664,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42574,35.14764,56064.37337,0
152942.19+350851.3,1135069031784,18.34,0.12,232.42570,35.14755,56064.38020,0
152942.19+350851.3,1135069031784,18.20,0.12,232.42580,35.14760,56064.38700,0
152942.19+350851.3,1135069031784,18.24,0.11,232.42587,35.14754,56071.31807,0
152942.19+350851.3,1135069031784,18.35,0.11,232.42576,35.14747,56071.32449,0
152942.19+350851.3,1135069031784,18.24,0.11,232.42585,35.14745,56071.33088,0
152942.19+350851.3,1135069031784,18.19,0.10,232.42575,35.14767,56071.33724,0
152942.19+350851.3,1135069031784,18.33,0.14,232.42572,35.14782,56077.37463,0
152942.19+350851.3,1135069031784,18.20,0.13,232.42574,35.14759,56077.38265,0
152942.19+350851.3,1135069031784,18.27,0.13,232.42570,35.14746,56077.39065,0
152942.19+350851.3,1135069031784,18.15,0.13,232.42563,35.14763,56077.39872,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42578,35.14770,56094.28162,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42582,35.14766,56094.29012,0
152942.19+350851.3,1135069031784,18.25,0.12,232.42573,35.14768,56094.29852,0
152942.19+350851.3,1135069031784,18.05,0.11,232.42572,35.14776,56094.30714,0
152942.19+350851.3,1135069031784,18.37,0.13,232.42570,35.14752,56189.12866,0
152942.19+350851.3,1135069031784,18.01,0.12,232.42574,35.14763,56189.13266,0
152942.19+350851.3,1135069031784,18.14,0.12,232.42584,35.14757,56189.13654,0
152942.19+350851.3,1135069031784,18.10,0.12,232.42558,35.14756,56189.14059,0
152942.19+350851.3,1135069031784,17.89,0.11,232.42576,35.14760,56374.34263,0
152942.19+350851.3,1135069031784,18.23,0.13,232.42575,35.14759,56374.34940,0
152942.19+350851.3,1135069031784,17.99,0.12,232.42590,35.14762,56374.35623,0
152942.19+350851.3,1135069031784,18.23,0.13,232.42564,35.14774,56374.36306,0
152942.19+350851.3,1135069031784,18.13,0.11,232.42577,35.14770,56390.44752,0
152942.19+350851.3,1135069031784,18.19,0.11,232.42577,35.14762,56390.45857,0
152942.19+350851.3,1135069031784,18.25,0.11,232.42566,35.14770,56390.46959,0
152942.19+350851.3,1135069031784,18.06,0.10,232.42567,35.14751,56390.48074,0
152942.19+350851.3,1135069031784,18.20,0.12,232.42586,35.14765,56419.40007,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42590,35.14770,56419.40578,0
152942.19+350851.3,1135069031784,18.12,0.12,232.42585,35.14758,56419.41155,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42574,35.14762,56419.41734,0
152942.19+350851.3,1135069031784,18.07,0.12,232.42580,35.14751,56433.31353,0
152942.19+350851.3,1135069031784,18.01,0.11,232.42565,35.14766,56433.31852,0
152942.19+350851.3,1135069031784,18.54,0.14,232.42571,35.14759,56433.32364,0
152942.19+350851.3,1135069031784,18.18,0.12,232.42575,35.14774,56433.32873,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42571,35.14766,56446.29943,0
152942.19+350851.3,1135069031784,18.25,0.13,232.42581,35.14752,56446.30791,0
152942.19+350851.3,1135069031784,18.02,0.12,232.42582,35.14763,56446.31642,0
152942.19+350851.3,1135069031784,18.17,0.12,232.42586,35.14764,56446.32497,0
152942.19+350851.3,1135069031784,18.28,0.13,232.42574,35.14754,56453.31290,0
152942.19+350851.3,1135069031784,18.13,0.12,232.42594,35.14771,56453.31875,0
152942.19+350851.3,1135069031784,18.16,0.12,232.42579,35.14765,56453.32455,0
152942.19+350851.3,1135069031784,18.10,0.12,232.42578,35.14769,56453.33035,0
152942.19+350851.3,1135069031784,18.21,0.12,232.42563,35.14759,56461.29906,0
152942.19+350851.3,1135069031784,18.26,0.13,232.42569,35.14754,56461.30416,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42575,35.14764,56461.30927,0
152942.19+350851.3,1135069031784,18.24,0.13,232.42564,35.14763,56461.31441,0
152942.19+350851.3,1135069031784,18.06,0.11,232.42581,35.14756,56563.10179,0
152942.19+350851.3,1135069031784,18.00,0.11,232.42565,35.14773,56563.10852,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42570,35.14754,56563.11518,0
152942.19+350851.3,1135069031784,18.16,0.12,232.42577,35.14763,56563.12188,0
075005.28+292944.3,1129037038648,19.35,0.21,117.51972,29.49297,53470.14115,0
075005.28+292944.3,1129037038648,19.37,0.21,117.51972,29.49276,53470.14843,0
075005.28+292944.3,1129037038648,19.37,0.21,117.51978,29.49325,53470.15576,0
075005.28+292944.3,1129037038648,19.84,0.27,117.51966,29.49316,53470.16309,0
075005.28+292944.3,1129037038648,19.38,0.20,117.51964,29.49303,53490.13218,0
075005.28+292944.3,1129037038648,19.90,0.26,117.52008,29.49303,53490.13871,0
075005.28+292944.3,1129037038648,19.64,0.23,117.51960,29.49296,53490.14522,0
075005.28+292944.3,1129037038648,19.79,0.25,117.51953,29.49312,53725.25122,0
075005.28+292944.3,1129037038648,19.93,0.27,117.51967,29.49305,53725.25924,0
075005.28+292944.3,1129037038648,19.10,0.18,117.51961,29.49279,53730.37288,0
075005.28+292944.3,1129037038648,19.68,0.25,117.51975,29.49286,53730.37856,0
075005.28+292944.3,1129037038648,19.49,0.22,117.51964,29.49285,53730.39256,0
075005.28+292944.3,1129037038648,19.60,0.23,117.51992,29.49315,53730.39823,0
075005.28+292944.3,1129037038648,19.57,0.22,117.51991,29.49281,53731.36237,0
075005.28+292944.3,1129037038648,19.29,0.19,117.51954,29.49321,53731.37996,0
075005.28+292944.3,1129037038648,19.27,0.19,117.51973,29.49307,53733.30649,0
075005.28+292944.3,1129037038648,19.69,0.23,117.51979,29.49287,53733.31437,0
075005.28+292944.3,1129037038648,19.41,0.20,117.51962,29.49328,53733.32213,0
075005.28+292944.3,1129037038648,19.62,0.22,117.51982,29.49307,53733.32995,0
075005.28+292944.3,1129037038648,19.37,0.20,117.51991,29.49294,53702.42834,0
075005.28+292944.3,1129037038648,19.93,0.26,117.51998,29.49295,53702.43379,0
075005.28+292944.3,1129037038648,19.54,0.22,117.51963,29.49289,53702.43920,0
075005.28+292944.3,1129037038648,19.50,0.21,117.51975,29.49282,53702.44458,0
075005.28+292944.3,1129037038648,20.07,0.31,117.51974,29.49323,53645.47018,0
075005.28+292944.3,1129037038648,20.07,0.31,117.51955,29.49288,53645.47670,0
075005.28+292944.3,1129037038648,19.34,0.21,117.51967,29.49287,53657.42945,0
075005.28+292944.3,1129037038648,19.01,0.18,117.51961,29.49298,53657.43375,0
075005.28+292944.3,1129037038648,19.81,0.25,117.51997,29.49321,53669.46720,0
075005.28+292944.3,1129037038648,19.34,0.20,117.52017,29.49302,53669.47418,0
075005.28+292944.3,1129037038648,19.51,0.21,117.51968,29.49327,53669.48116,0
075005.28+292944.3,1129037038648,19.82,0.25,117.51975,29.49316,53669.48815,0
075005.28+292944.3,1129037038648,18.99,0.17,117.51960,29.49309,53849.13171,0
075005.28+292944.3,1129037038648,19.51,0.22,117.52001,29.49314,53849.13822,0
075005.28+292944.3,1129037038648,19.37,0.21,117.51941,29.49282,53849.14469,0
075005.28+292944.3,1129037038648,19.37,0.57,117.52006,29.49370,54080.50551,0
075005.28+292944.3,1129037038648,19.16,0.18,117.51976,29.49308,54082.35481,0
075005.28+292944.3,1129037038648,19.11,0.17,117.51971,29.49309,54082.36147,0
075005.28+292944.3,1129037038648,19.36,0.19,117.51968,29.49304,54082.36809,0
075005.28+292944.3,1129037038648,19.52,0.20,117.51971,29.49293,54092.41165,0
075005.28+292944.3,1129037038648,19.52,0.20,117.51962,29.49312,54092.41648,0
075005.28+292944.3,1129037038648,19.58,0.21,117.51951,29.49298,54092.42133,0
075005.28+292944.3,1129037038648,19.82,0.24,117.51968,29.49305,54092.42618,0
075005.28+292944.3,1129037038648,20.03,0.29,117.51995,29.49300,53794.18478,0
