MJD,m,dm,F,source_name
61191.089713,-18.966,0.373,o,220546.32+005319.2
61191.093336,-20.663,1.522,o,220546.32+005319.2
61191.0992,-20.077,0.708,o,220546.32+005319.2
61195.276465,-14.652,0.504,o,220546.32+005319.2
61195.278735,-13.585,0.598,o,220546.32+005319.2
61195.281912,-14.033,0.634,o,220546.32+005319.2
61195.291941,-15.964,0.929,o,220546.32+005319.2
61196.532187,-20.679,1.041,o,220546.32+005319.2
61196.535414,-20.639,1.261,o,220546.32+005319.2
61196.5415,-19.943,0.533,o,220546.32+005319.2
61196.56549,-21.537,2.772,o,220546.32+005319.2
61202.572832,-18.365,5.853,o,220546.32+005319.2
61202.577519,15.15,0.464,o,220546.32+005319.2
61202.583475,19.698,11.818,o,220546.32+005319.2
61202.601443,-18.516,1.756,o,220546.32+005319.2
61204.36573,-20.822,3.286,o,220546.32+005319.2
61204.368888,-19.043,0.58,o,220546.32+005319.2
61204.381879,-17.924,0.657,o,220546.32+005319.2
61177.066409,22.277,1.914,c,113618.90+125554.8
61177.069578,22.052,1.595,c,113618.90+125554.8
61177.075502,20.512,0.367,c,113618.90+125554.8
61177.085328,21.751,1.308,c,113618.90+125554.8
61180.049591,20.739,0.476,c,113618.90+125554.8
61180.052771,21.615,1.041,c,113618.90+125554.8
61180.05962,-23.218,6.917,c,113618.90+125554.8
61180.07154,21.273,0.776,c,113618.90+125554.8
61181.304707,-21.988,1.712,o,113618.90+125554.8
61181.30798,-22.259,1.927,o,113618.90+125554.8
61181.314413,20.922,0.764,o,113618.90+125554.8
61181.334355,20.783,0.697,o,113618.90+125554.8
61182.318804,21.943,2.0,o,113618.90+125554.8
61182.321989,20.183,0.517,o,113618.90+125554.8
61182.34557,20.908,1.175,o,113618.90+125554.8
61182.364855,-20.197,0.702,o,113618.90+125554.8
61183.083857,20.855,1.076,o,113618.90+125554.8
61183.08702,-21.103,1.231,o,113618.90+125554.8
61183.095199,20.67,0.9,o,113618.90+125554.8
61183.108106,19.882,1.67,o,113618.90+125554.8
61186.298212,21.026,1.368,o,113618.90+125554.8
61186.301421,22.858,8.0,o,113618.90+125554.8
61186.310752,20.938,1.763,o,113618.90+125554.8
61186.329061,22.224,4.795,o,113618.90+125554.8
61187.31176,21.233,1.823,o,113618.90+125554.8
61187.314929,20.229,0.607,o,113618.90+125554.8
61187.320379,20.378,0.715,o,113618.90+125554.8
61187.342933,-20.214,0.854,o,113618.90+125554.8
61189.065864,-20.616,1.125,o,113618.90+125554.8
61189.069026,24.287,36.8,o,113618.90+125554.8
61189.075405,19.769,0.55,o,113618.90+125554.8
61189.093693,19.823,0.68,o,113618.90+125554.8
61190.310902,22.99,8.944,o,113618.90+125554.8
61190.315959,19.634,0.377,o,113618.90+125554.8
61190.319163,-20.748,1.097,o,113618.90+125554.8
61190.344674,20.468,0.958,o,113618.90+125554.8
61190.813989,23.508,25.889,o,113618.90+125554.8
61190.817153,-22.051,7.069,o,113618.90+125554.8
61190.827665,22.684,10.5,o,113618.90+125554.8
61190.833552,19.02,0.417,o,113618.90+125554.8
61192.032984,-17.995,1.529,o,113618.90+125554.8
61192.03616,-18.183,2.498,o,113618.90+125554.8
61192.043444,22.615,190.0,o,113618.90+125554.8
61192.05497,-16.266,1.233,o,113618.90+125554.8
61195.051512,-19.152,1.047,o,113618.90+125554.8
61195.055137,-19.509,1.744,o,113618.90+125554.8
61195.062425,-18.308,1.034,o,113618.90+125554.8
61195.072966,-18.018,0.737,o,113618.90+125554.8
61196.282297,-20.95,0.701,o,113618.90+125554.8
61196.285574,-20.967,0.758,o,113618.90+125554.8
61196.30358,20.325,0.512,o,113618.90+125554.8
61196.312382,19.979,0.427,o,113618.90+125554.8
61196.787876,22.652,4.529,c,113618.90+125554.8
61196.791052,23.635,8.375,c,113618.90+125554.8
61196.797273,-23.298,8.5,c,113618.90+125554.8
61196.80949,20.731,0.588,c,113618.90+125554.8
61200.266757,17.813,0.983,o,113618.90+125554.8
61200.276146,20.31,0.58,o,113618.90+125554.8
61202.251438,-21.495,2.759,c,113618.90+125554.8
61202.257832,-21.195,1.649,c,113618.90+125554.8
61202.261579,22.999,8.0,c,113618.90+125554.8
61202.277723,-19.131,0.857,c,113618.90+125554.8
61204.078086,-17.706,1.839,o,113618.90+125554.8
61204.081277,-17.319,0.481,o,113618.90+125554.8
61204.08676,20.694,7.833,o,113618.90+125554.8
61204.096852,-19.498,1.535,o,113618.90+125554.8
61182.95031,-18.906,0.531,o,075947.73+112507.3
61182.953482,-20.582,1.701,o,075947.73+112507.3
61182.958913,-20.307,0.89,o,075947.73+112507.3
61182.969378,-19.669,1.434,o,075947.73+112507.3
61184.695891,-19.017,0.363,o,075947.73+112507.3
61184.699084,19.366,0.614,o,075947.73+112507.3
61184.709972,16.683,1.123,o,075947.73+112507.3
61184.717212,21.54,7.515,o,075947.73+112507.3
61188.949034,19.254,0.98,o,075947.73+112507.3
61188.952206,-19.987,1.246,o,075947.73+112507.3
61188.95988,-20.796,1.907,o,075947.73+112507.3
61188.974028,-19.962,0.861,o,075947.73+112507.3
61190.695035,-20.86,4.444,o,075947.73+112507.3
61190.698189,-19.018,0.503,o,075947.73+112507.3
61190.703599,20.931,2.305,o,075947.73+112507.3
61190.724948,-19.353,0.526,o,075947.73+112507.3
61191.948664,-18.208,1.213,o,075947.73+112507.3
61191.951835,-17.482,0.643,o,075947.73+112507.3
61191.961809,19.889,5.246,o,075947.73+112507.3
61181.353405,18.995,0.122,o,132404.20+433407.1
61181.358473,19.457,0.179,o,132404.20+433407.1
61181.361714,19.568,0.194,o,132404.20+433407.1
61181.37182,19.257,0.142,o,132404.20+433407.1
61182.354568,19.68,0.262,o,132404.20+433407.1
61182.357327,19.5,0.239,o,132404.20+433407.1
61182.364259,19.311,0.171,o,132404.20+433407.1
61182.374341,19.13,0.159,o,132404.20+433407.1
61184.351725,19.619,0.323,o,132404.20+433407.1
61184.354915,19.494,0.241,o,132404.20+433407.1
61184.360859,19.19,0.182,o,132404.20+433407.1
61184.3709,19.249,0.212,o,132404.20+433407.1
61185.342653,19.544,0.26,o,132404.20+433407.1
61185.345416,19.748,0.31,o,132404.20+433407.1
61185.351822,20.297,0.612,o,132404.20+433407.1
61185.362878,19.733,0.35,o,132404.20+433407.1
61187.351998,19.523,0.284,o,132404.20+433407.1
61187.354742,19.691,0.306,o,132404.20+433407.1
61187.36073,19.86,0.435,o,132404.20+433407.1
61187.370786,19.665,0.315,o,132404.20+433407.1
61188.339522,19.351,0.255,o,132404.20+433407.1
61188.342277,19.527,0.329,o,132404.20+433407.1
61188.347763,19.172,0.205,o,132404.20+433407.1
61188.360584,19.785,0.425,o,132404.20+433407.1
61189.362058,19.551,0.34,o,132404.20+433407.1
61189.36526,18.941,0.221,o,132404.20+433407.1
61189.38084,19.655,0.49,o,132404.20+433407.1
61189.386488,19.034,0.231,o,132404.20+433407.1
61190.348038,19.641,0.354,o,132404.20+433407.1
61190.351685,19.495,0.383,o,132404.20+433407.1
61190.357613,18.942,0.235,o,132404.20+433407.1
61190.36781,19.31,0.266,o,132404.20+433407.1
61191.347857,18.912,0.209,o,132404.20+433407.1
61191.350611,19.038,0.364,o,132404.20+433407.1
61191.355639,18.565,0.46,o,132404.20+433407.1
61191.36526,22.144,19.619,o,132404.20+433407.1
61196.39508,19.83,0.351,o,132404.20+433407.1
61196.419753,20.38,0.44,o,132404.20+433407.1
61196.42295,19.501,0.249,o,132404.20+433407.1
61196.42899,19.304,0.206,o,132404.20+433407.1
61197.32734,19.214,0.099,c,132404.20+433407.1
61197.33008,19.216,0.095,c,132404.20+433407.1
61197.335111,19.847,0.205,c,132404.20+433407.1
61197.344704,19.239,0.111,c,132404.20+433407.1
61200.336182,19.627,0.19,c,132404.20+433407.1
61200.339381,19.196,0.138,c,132404.20+433407.1
61200.344875,19.445,0.172,c,132404.20+433407.1
61200.355409,19.521,0.169,c,132404.20+433407.1
61202.319433,19.169,0.129,o,132404.20+433407.1
61202.323557,19.603,0.231,o,132404.20+433407.1
61202.329927,19.477,0.194,o,132404.20+433407.1
61202.343113,19.39,0.154,o,132404.20+433407.1
61205.32791,19.359,0.144,c,132404.20+433407.1
61205.33065,19.583,0.178,c,132404.20+433407.1
61205.336592,19.638,0.181,c,132404.20+433407.1
61205.35032,19.488,0.143,c,132404.20+433407.1
61206.305766,19.552,0.162,c,132404.20+433407.1
61206.308511,19.39,0.133,c,132404.20+433407.1
61206.314963,19.275,0.12,c,132404.20+433407.1
61206.324559,19.316,0.127,c,132404.20+433407.1
61181.241305,19.844,0.749,o,084245.18+445533.9
61181.246413,20.874,0.983,o,084245.18+445533.9
61181.252413,20.858,0.957,o,084245.18+445533.9
61181.264844,20.531,0.62,o,084245.18+445533.9
61182.242086,20.748,1.902,o,084245.18+445533.9
61182.247206,20.781,1.008,o,084245.18+445533.9
61182.250908,23.471,10.545,o,084245.18+445533.9
61182.261562,21.176,1.374,o,084245.18+445533.9
61187.242412,-19.516,0.725,o,084245.18+445533.9
61187.24748,-21.956,3.457,o,084245.18+445533.9
61187.250681,20.996,1.441,o,084245.18+445533.9
61187.260322,22.044,3.262,o,084245.18+445533.9
61181.389248,21.675,1.262,o,143418.47+491236.5
61181.39199,23.182,5.077,o,143418.47+491236.5
61181.39702,-21.599,1.141,o,143418.47+491236.5
61181.432799,-21.094,0.745,o,143418.47+491236.5
61182.370677,-24.019,13.667,o,143418.47+491236.5
61182.373884,-21.76,2.042,o,143418.47+491236.5
61182.379852,-20.624,0.635,o,143418.47+491236.5
61182.393125,-21.911,2.023,o,143418.47+491236.5
61184.389533,-21.831,2.175,o,143418.47+491236.5
61184.392716,20.994,1.174,o,143418.47+491236.5
61184.398186,-20.832,0.942,o,143418.47+491236.5
61184.433623,-19.813,0.362,o,143418.47+491236.5
61185.371155,-21.332,1.407,o,143418.47+491236.5
61185.374835,20.271,0.479,o,143418.47+491236.5
61185.379878,-20.806,0.859,o,143418.47+491236.5
61185.413706,-20.728,0.886,o,143418.47+491236.5
61187.369873,-25.273,54.5,o,143418.47+491236.5
61187.372612,-20.506,0.587,o,143418.47+491236.5
61187.379474,20.787,0.813,o,143418.47+491236.5
61187.389553,19.893,0.394,o,143418.47+491236.5
61188.368841,21.608,2.172,o,143418.47+491236.5
61188.372073,20.33,0.601,o,143418.47+491236.5
61188.378522,21.107,1.349,o,143418.47+491236.5
61188.393214,-23.196,9.214,o,143418.47+491236.5
61190.381628,-19.968,0.713,o,143418.47+491236.5
61190.384816,-26.261,203.0,o,143418.47+491236.5
61190.39073,-20.962,1.858,o,143418.47+491236.5
61190.400876,-20.153,0.735,o,143418.47+491236.5
61191.374867,18.188,4.183,o,143418.47+491236.5
61191.378522,-17.447,0.468,o,143418.47+491236.5
61191.384465,-19.855,1.42,o,143418.47+491236.5
61191.394115,17.972,0.79,o,143418.47+491236.5
61196.488476,20.629,1.086,o,143418.47+491236.5
61196.491918,22.423,4.379,o,143418.47+491236.5
61196.524667,-20.621,1.218,o,143418.47+491236.5
61196.552921,21.904,5.185,o,143418.47+491236.5
61197.353417,-22.141,1.677,c,143418.47+491236.5
61197.356636,-21.926,1.378,c,143418.47+491236.5
61197.363538,-21.964,1.222,c,143418.47+491236.5
61197.374565,22.284,1.889,c,143418.47+491236.5
61200.359528,-22.768,3.462,c,143418.47+491236.5
61200.362726,-22.007,1.467,c,143418.47+491236.5
61200.368208,-22.062,1.393,c,143418.47+491236.5
61200.379176,22.016,5.6,c,143418.47+491236.5
61202.360843,-21.81,1.318,o,143418.47+491236.5
61202.364065,-21.355,1.0,o,143418.47+491236.5
61202.37111,20.747,0.53,o,143418.47+491236.5
61202.382558,22.981,3.818,o,143418.47+491236.5
61205.348477,21.438,0.938,c,143418.47+491236.5
61205.353528,23.624,7.0,c,143418.47+491236.5
61205.357193,21.214,0.679,c,143418.47+491236.5
61205.367257,21.983,1.692,c,143418.47+491236.5
61206.332372,22.937,3.143,c,143418.47+491236.5
61206.335138,22.788,2.875,c,143418.47+491236.5
61206.341551,23.104,3.5,c,143418.47+491236.5
61206.354413,21.041,0.603,c,143418.47+491236.5
61177.295071,19.944,0.264,c,095746.83+303024.2
61177.298298,19.535,0.251,c,095746.83+303024.2
61177.304291,21.512,1.368,c,095746.83+303024.2
61177.314359,19.738,0.256,c,095746.83+303024.2
61181.26502,19.607,0.35,o,095746.83+303024.2
61181.26828,19.444,0.225,o,095746.83+303024.2
61181.273794,19.89,0.319,o,095746.83+303024.2
61181.288927,19.083,0.144,o,095746.83+303024.2
61182.265785,19.308,0.372,o,095746.83+303024.2
61182.269108,20.501,1.051,o,095746.83+303024.2
61182.274652,19.006,0.326,o,095746.83+303024.2
61182.28532,22.141,5.0,o,095746.83+303024.2
61186.295771,19.555,0.274,o,095746.83+303024.2
61186.298969,19.699,0.393,o,095746.83+303024.2
61186.307317,20.046,0.554,o,095746.83+303024.2
61186.320058,19.403,0.306,o,095746.83+303024.2
61187.276504,19.731,0.465,o,095746.83+303024.2
61187.279687,19.908,0.613,o,095746.83+303024.2
61187.286108,19.191,0.253,o,095746.83+303024.2
61187.296146,-23.176,10.125,o,095746.83+303024.2
61188.282048,19.282,0.302,o,095746.83+303024.2
61188.285312,-21.015,1.892,o,095746.83+303024.2
61188.290446,19.972,0.656,o,095746.83+303024.2
61188.300521,20.26,0.825,o,095746.83+303024.2
61189.279139,20.541,1.179,o,095746.83+303024.2
61189.282346,19.726,0.648,o,095746.83+303024.2
61189.289693,20.813,1.669,o,095746.83+303024.2
61189.300715,20.284,1.13,o,095746.83+303024.2
61192.252098,-20.186,2.107,o,095746.83+303024.2
61192.255778,-20.775,4.303,o,095746.83+303024.2
61192.261028,19.144,0.352,o,095746.83+303024.2
61192.279975,20.738,1.18,o,095746.83+303024.2
61195.279995,20.206,0.554,o,095746.83+303024.2
61195.283227,20.146,0.508,o,095746.83+303024.2
61195.28875,20.675,0.752,o,095746.83+303024.2
61195.299698,19.183,0.253,o,095746.83+303024.2
61199.257728,20.676,1.03,o,095746.83+303024.2
61199.261408,-21.972,2.852,o,095746.83+303024.2
61199.278103,19.813,0.37,o,095746.83+303024.2
61200.282241,21.308,1.091,o,095746.83+303024.2
61200.285076,19.728,0.306,o,095746.83+303024.2
61200.291632,20.921,0.978,o,095746.83+303024.2
61200.301492,19.926,0.463,o,095746.83+303024.2
61201.26692,19.597,0.324,o,095746.83+303024.2
61201.270103,20.705,2.444,o,095746.83+303024.2
61204.281258,20.224,0.411,c,095746.83+303024.2
61204.284939,20.033,0.354,c,095746.83+303024.2
61204.290925,20.404,0.527,c,095746.83+303024.2
61204.301461,20.464,0.5,c,095746.83+303024.2
61206.305438,19.84,0.449,o,095746.83+303024.2
61206.309068,20.387,0.883,o,095746.83+303024.2
61206.315916,19.061,0.271,o,095746.83+303024.2
