tid,mjd,magpsf_corr,sigmapsf,fid,source_name
ztf,60111.30236109998,16.822092,0.050482053,2,152942.19+350851.3
ztf,60113.291273099836,16.901093,0.047635883,1,152942.19+350851.3
ztf,60113.36969910003,16.843554,0.051123776,2,152942.19+350851.3
ztf,60116.28644679999,16.86014,0.049877837,2,152942.19+350851.3
ztf,60116.32094909996,16.91144,0.059813756,1,152942.19+350851.3
ztf,60118.25488429982,16.921236,0.045147136,1,152942.19+350851.3
ztf,60118.30018519983,16.82237,0.04563807,2,152942.19+350851.3
ztf,60120.23907409981,16.821533,0.06104522,2,152942.19+350851.3
ztf,60120.33011570014,16.913855,0.043395065,1,152942.19+350851.3
ztf,60122.26962959999,16.842587,0.058629572,2,152942.19+350851.3
ztf,60122.31680560019,16.8876,0.052553862,1,152942.19+350851.3
ztf,60124.21541670011,16.840626,0.067353375,2,152942.19+350851.3
ztf,60124.26733799977,16.912882,0.05709551,1,152942.19+350851.3
ztf,60126.33255789988,16.860378,0.046496317,2,152942.19+350851.3
ztf,60128.286215300206,16.92413,0.05032218,1,152942.19+350851.3
ztf,60128.32318289997,16.873484,0.05144177,2,152942.19+350851.3
ztf,60134.224710599985,16.869095,0.061875504,2,152942.19+350851.3
ztf,60134.2450116002,16.921343,0.04009353,1,152942.19+350851.3
ztf,60136.19959490001,16.935812,0.046325278,1,152942.19+350851.3
ztf,60136.29491900001,16.852512,0.05455066,2,152942.19+350851.3
ztf,60138.20053240005,16.87074,0.06957908,2,152942.19+350851.3
ztf,60138.24793979991,16.93424,0.05454645,1,152942.19+350851.3
ztf,60140.19814810017,16.91958,0.06419064,1,152942.19+350851.3
ztf,60140.238865700085,16.883038,0.04983592,2,152942.19+350851.3
ztf,60145.228761599865,16.955313,0.043846156,1,152942.19+350851.3
ztf,60147.202893500216,16.963976,0.059065957,1,152942.19+350851.3
ztf,60161.1985185002,16.986624,0.04678931,1,152942.19+350851.3
ztf,60165.219155100174,16.9233,0.06405742,2,152942.19+350851.3
ztf,60165.24651619978,17.027864,0.046085756,1,152942.19+350851.3
ztf,60171.201759300195,17.035957,0.049138516,1,152942.19+350851.3
ztf,60178.2396644,16.966047,0.05732681,2,152942.19+350851.3
ztf,60184.162164399866,16.959787,0.05155632,2,152942.19+350851.3
ztf,60184.195995400194,17.122282,0.059423283,1,152942.19+350851.3
ztf,60194.16552079981,17.133501,0.051815707,1,152942.19+350851.3
ztf,60221.13513890002,17.05142,0.049078442,2,152942.19+350851.3
ztf,60223.13747690013,17.188824,0.06251137,1,152942.19+350851.3
ztf,60311.48001160007,17.383753,0.21609649,1,152942.19+350851.3
ztf,60315.47575230012,17.215162,0.06769206,2,152942.19+350851.3
ztf,60315.54918979993,17.378613,0.05635037,1,152942.19+350851.3
ztf,60327.515150499996,17.398829,0.07245838,1,152942.19+350851.3
ztf,60327.534826400224,17.215847,0.048242662,2,152942.19+350851.3
ztf,60351.43314810004,17.446196,0.06422908,1,152942.19+350851.3
ztf,60351.48667819984,17.324062,0.07805538,2,152942.19+350851.3
ztf,60353.47840279993,17.285791,0.061381448,2,152942.19+350851.3
ztf,60353.505636599846,17.446972,0.06385729,1,152942.19+350851.3
ztf,60355.484375,17.268158,0.04913783,2,152942.19+350851.3
ztf,60355.51468749996,17.452839,0.074266896,1,152942.19+350851.3
ztf,60363.41172449989,17.369986,0.09802876,1,152942.19+350851.3
ztf,60369.42569439998,17.3192,0.080157705,2,152942.19+350851.3
ztf,60369.4462036998,17.48732,0.061969806,1,152942.19+350851.3
ztf,60383.431006900035,17.268888,0.17227818,2,152942.19+350851.3
ztf,60389.505613400135,17.322325,0.06346305,2,152942.19+350851.3
ztf,60391.411562500056,17.519163,0.078392975,1,152942.19+350851.3
ztf,60391.4363425998,17.334854,0.06969029,2,152942.19+350851.3
ztf,60396.384988400154,17.520458,0.07486872,1,152942.19+350851.3
ztf,60398.348842599895,17.528547,0.08520574,1,152942.19+350851.3
ztf,60398.40223379992,17.312504,0.06546759,2,152942.19+350851.3
ztf,60404.382685199846,17.496666,0.058648832,1,152942.19+350851.3
ztf,60404.469467599876,17.312983,0.071813375,2,152942.19+350851.3
ztf,60408.427476900164,17.31974,0.04763964,2,152942.19+350851.3
ztf,60408.46782410005,17.509926,0.06325028,1,152942.19+350851.3
ztf,60416.45627309987,17.335638,0.072851196,2,152942.19+350851.3
ztf,60419.33966440009,17.501715,0.05859698,1,152942.19+350851.3
ztf,60421.3462731,17.529606,0.07609644,1,152942.19+350851.3
ztf,60423.297673599795,17.542984,0.08693439,1,152942.19+350851.3
ztf,60423.42466440005,17.345469,0.09304063,2,152942.19+350851.3
ztf,60429.3283218001,17.5449,0.075742505,1,152942.19+350851.3
ztf,60429.372500000056,17.356144,0.09786133,2,152942.19+350851.3
ztf,60431.36714120023,17.565958,0.0634654,1,152942.19+350851.3
ztf,60434.35137729999,17.388117,0.06799646,2,152942.19+350851.3
ztf,60434.40510419989,17.589287,0.07098186,1,152942.19+350851.3
ztf,60436.40384260006,17.605804,0.06919753,1,152942.19+350851.3
ztf,60437.38518519979,17.393843,0.06206627,2,152942.19+350851.3
ztf,60437.42570600007,17.570683,0.057514533,1,152942.19+350851.3
ztf,60438.41530090012,17.383663,0.06270923,2,152942.19+350851.3
ztf,60438.4231480998,17.597652,0.074047096,1,152942.19+350851.3
ztf,60440.322488400154,17.628008,0.07357996,1,152942.19+350851.3
ztf,60440.3880671002,17.41033,0.082943834,2,152942.19+350851.3
ztf,60442.363564800005,17.61611,0.06901395,1,152942.19+350851.3
ztf,60444.36956019979,17.612299,0.061820306,1,152942.19+350851.3
ztf,60446.30344909988,17.434105,0.061798196,2,152942.19+350851.3
ztf,60446.388483799994,17.644936,0.07679149,1,152942.19+350851.3
ztf,60448.257094900124,17.41659,0.06935948,2,152942.19+350851.3
ztf,60448.34614579985,17.624594,0.08592918,1,152942.19+350851.3
ztf,60450.34173610015,17.663815,0.09632325,1,152942.19+350851.3
ztf,60450.3908218001,17.424648,0.074942835,2,152942.19+350851.3
ztf,60452.32282410003,17.66948,0.12271648,1,152942.19+350851.3
ztf,60452.38975689979,17.424654,0.094598375,2,152942.19+350851.3
ztf,60457.287245399784,17.680962,0.07027892,1,152942.19+350851.3
ztf,60459.33020830015,17.677055,0.078503415,1,152942.19+350851.3
ztf,60461.32259259978,17.69777,0.06884575,1,152942.19+350851.3
ztf,60463.26612270018,17.441774,0.07595458,2,152942.19+350851.3
ztf,60463.29799770005,17.686125,0.07656782,1,152942.19+350851.3
ztf,60468.34473379981,17.695719,0.08735943,1,152942.19+350851.3
ztf,60470.23592589982,17.674992,0.078264914,1,152942.19+350851.3
ztf,60472.30616899999,17.720932,0.08223652,1,152942.19+350851.3
ztf,60475.256446800195,17.485832,0.1112683,2,152942.19+350851.3
ztf,60477.283692100085,17.69959,0.09020557,1,152942.19+350851.3
ztf,60477.32092589978,17.450367,0.067949876,2,152942.19+350851.3
ztf,60480.23591439985,17.72732,0.0998786,1,152942.19+350851.3
ztf,60480.32182870014,17.506584,0.07759122,2,152942.19+350851.3
ztf,60482.236794000026,17.724695,0.0991756,1,152942.19+350851.3
ztf,60482.31050929986,17.490118,0.092639215,2,152942.19+350851.3
ztf,60484.246979199816,17.746681,0.1081989,1,152942.19+350851.3
ztf,60486.24211810017,17.70229,0.19993436,1,152942.19+350851.3
ztf,60488.25700230012,17.695879,0.0757954,1,152942.19+350851.3
ztf,60490.224641200155,17.7323,0.087695196,1,152942.19+350851.3
ztf,60500.25825229986,17.481766,0.08018962,2,152942.19+350851.3
ztf,60502.277974499855,17.703827,0.09908912,1,152942.19+350851.3
ztf,60508.20045140013,17.691242,0.08667498,1,152942.19+350851.3
ztf,60510.21495370008,17.65159,0.07902242,1,152942.19+350851.3
ztf,60512.20495369984,17.672909,0.07981476,1,152942.19+350851.3
ztf,60514.18787040003,17.613827,0.067814425,1,152942.19+350851.3
ztf,60516.19430560013,17.646503,0.069780074,1,152942.19+350851.3
ztf,60518.223819400184,17.61867,0.08741043,1,152942.19+350851.3
ztf,60520.19770829985,17.621452,0.058540743,1,152942.19+350851.3
ztf,60520.24990739999,17.41246,0.07807625,2,152942.19+350851.3
ztf,60526.19924770016,17.606886,0.05757014,1,152942.19+350851.3
ztf,60528.21672450006,17.615036,0.08035072,1,152942.19+350851.3
ztf,60530.18576390017,17.626947,0.08560393,1,152942.19+350851.3
ztf,60532.22385419998,17.647354,0.06617015,1,152942.19+350851.3
ztf,60533.17768519977,17.41646,0.13417375,2,152942.19+350851.3
ztf,60545.17709490005,17.635298,0.078585856,1,152942.19+350851.3
ztf,60547.173182900064,17.615446,0.08307378,1,152942.19+350851.3
ztf,60547.22651620023,17.383991,0.074804954,2,152942.19+350851.3
ztf,60549.164733800106,17.649235,0.10385174,1,152942.19+350851.3
ztf,60549.19905090006,17.398752,0.07281233,2,152942.19+350851.3
ztf,60553.186504600104,17.626865,0.08722289,1,152942.19+350851.3
ztf,60565.177268499974,17.376083,0.0857676,2,152942.19+350851.3
ztf,60567.15280089993,17.416462,0.07418183,2,152942.19+350851.3
ztf,60569.160370400175,17.58725,0.111482084,1,152942.19+350851.3
ztf,60569.17812500009,17.413414,0.09443016,2,152942.19+350851.3
ztf,60572.163321800064,17.627722,0.12280089,1,152942.19+350851.3
ztf,60572.18311339989,17.490881,0.08072443,2,152942.19+350851.3
